72
  8    8    8    8    0   6.5706234910561690e+01
  8    8    8    8    1  -4.4860851496050463e-01
  8    8    8    8    2  -1.3584581911390409e-01
  8    8    8    8    3   4.7629486544650584e-01
  8    8    8    8    4  -1.7361230997430081e-02
  8    8    8    8    5   2.3756843532978496e-03
  8    8    8    8    6   7.0291280442697241e-03
  8    8    8    8    7  -5.4382318343328503e-02
  8    8    8    8    8  -1.8072295861047186e-01
  8    8    8    8    9  -1.7268536133720838e-01
  8    8    8    8   10  -4.5368444117167388e-02
  8    8    8    8   11  -1.7611761358266538e-02
  8    8    8    8   12  -6.2121343405802901e-04
  8    8    8    8   13   2.5714040716524764e-04
  8    8    8    8   14  -2.7775719269728692e-02
  8    8    8    8   15  -1.4952271876569875e-01
  8    8    8    8   16  -1.2015125594040865e-01
  8    8    8    8   17  -6.9195065354572580e-02
  8    8    8    8   18  -2.7523690892520946e-02
  8    8    8    8   19  -8.2704072552983610e-03
  8    8    8    8   20  -8.6844732674079377e-04
  8    8    8    8   21   1.8345187163117112e-02
  8    8    8    8   22   1.1311559671194023e-01
  8    8    8    8   23  -3.2883506659259806e-02
  8    8    8    8   24  -1.9098205623480503e-02
  8    8    8    8   25  -4.6385217082786763e-02
  8    8    8    8   26  -1.9121526347862499e-02
  8    8    8    8   27  -5.8537488887979725e-03
  8    8    8    8   28   1.0355474168631657e-02
  8    8    8    8   29   4.3929444094109055e-03
  8    8    8    8   30  -1.4579648497813982e-02
  8    8    8    8   31  -2.6511166773377760e-02
  8    8    8    8   32  -2.0756980958849952e-02
  8    8    8    8   33  -1.0885433960803827e-02
  8    8    8    8   34  -5.4263645345392665e-03
  8    8    8    8   35  -8.5861349762831761e-04
  8    8    8    8   36   1.9822155508321024e-03
  8    8    8    8   37   1.1298728417336066e-04
  8    8    8    8   38  -1.3849197886045767e-03
  8    8    8    8   39  -4.4249387068752647e-03
  8    8    8    8   40  -6.6631095909852949e-03
  8    8    8    8   41  -3.7503880811371997e-03
  8    8    8    8   42  -6.1142447502607949e-03
  8    8    8    8   43  -5.1437042543945053e-03
  8    8    8    8   44   3.6752063336072198e-03
  8    8    8    8   45   3.6571424715627866e-03
  8    8    8    8   46  -8.4248223574875394e-04
  8    8    8    8   47  -1.4620071305591475e-03
  8    8    8    8   48  -2.6133411739745409e-03
  8    8    8    8   49   7.2752060624772033e-02
  8    8    8    8   50   1.4732460819652818e-01
  8    8    8    8   51   5.4675179431990475e-02
  8    8    8    8   52   1.5654211551855316e-02
  8    8    8    8   53  -2.1608357152949733e-03
  8    8    8    8   54  -7.7360275367235984e-04
  8    8    8    8   55  -8.9738586216792704e-02
  8    8    8    8   56   9.9020155565581205e-02
  8    8    8    8   57   6.3966258601344278e-02
  8    8    8    8   58   2.7761869514664219e-02
  8    8    8    8   59   5.5194913166648875e-03
  8    8    8    8   60   2.9113774161500759e-04
  8    8    8    8   61  -1.8502916104825190e-01
  8    8    8    8   62   5.3016539189400094e-02
  8    8    8    8   63   3.0634754183764708e-02
  8    8    8    8   64   3.4134119692086039e-02
  8    8    8    8   65   1.5158470124252768e-02
  8    8    8    8   66   7.4564785847539864e-03
  8    8    8    8   67  -1.5534692474667090e-02
  8    8    8    8   68   9.7503590217685836e-03
  8    8    8    8   69   2.0188606321309852e-02
  8    8    8    8   70   1.9234034350285440e-02
  8    8    8    8   71   1.2770134125901040e-02
  8    8    8    8   72   5.3816175378398837e-03
  8    8    8    8   73  -4.5871934470402935e-03
  8    8    8    8   74  -4.5478966479625682e-03
  8    8    8    8   75  -2.3546763414612409e-04
  8    8    8    8   76   6.7875497517597859e-03
  8    8    8    8   77   6.7222100743967199e-03
  8    8    8    8   78   3.7163229172054169e-03
  8    8    8    8   79  -3.1671927253063619e-03
  8    8    8    8   80  -1.7164567120255539e-03
  8    8    8    8   81  -1.0162521611188676e-03
  8    8    8    8   82   6.0281919258639452e-04
  8    8    8    8   83   1.6655651442201407e-03
  8    8    8    8   84   2.0546122161837167e-03
 10   10   10   10    0   1.7219540083880565e+00
 10   10   10   10    1   1.2628439610360417e-01
 10   10   10   10    2   1.0878646000449206e-01
 10   10   10   10    3   1.0748268239068610e-02
 10   10   10   10    4   1.3313232210458058e-02
 10   10   10   10    5   9.5911075622656244e-03
 10   10   10   10    6   5.1701209223425889e-03
 10   10   10   10    7   3.9398804373752871e-01
 10   10   10   10    8   2.6102977330563254e-01
 10   10   10   10    9   2.1049206083907657e-01
 10   10   10   10   10   2.8372440370005178e-02
 10   10   10   10   11   3.2607969127486466e-02
 10   10   10   10   12   1.9999812202300807e-02
 10   10   10   10   13   1.0331442079528706e-02
 10   10   10   10   14   2.6556536643519119e-01
 10   10   10   10   15   1.6862213461577169e-01
 10   10   10   10   16   2.0148715005314691e-01
 10   10   10   10   17   5.3642861113687566e-02
 10   10   10   10   18   3.6893228873555908e-02
 10   10   10   10   19   1.7782362445582976e-02
 10   10   10   10   20   1.0824855813755075e-02
 10   10   10   10   21   5.3383470748072093e-01
 10   10   10   10   22   8.5950299567731883e-02
 10   10   10   10   23   1.4214410633442709e-01
 10   10   10   10   24   6.7083076341613493e-02
 10   10   10   10   25   3.6541088651228425e-02
 10   10   10   10   26   1.8320657691075538e-02
 10   10   10   10   27   1.4254566833964482e-02
 10   10   10   10   28   1.9101480874281925e-02
 10   10   10   10   29   3.5289124349222462e-02
 10   10   10   10   30   8.8792932106910402e-02
 10   10   10   10   31   4.9827410180748301e-02
 10   10   10   10   32   3.0676880062271053e-02
 10   10   10   10   33   1.7946674009402995e-02
