2   2   2
  4    0   -1.7957078000000001e-05
  4    1   -2.2157985999999999e-05
  4    2   -8.3743580000000008e-06
  4    3   -3.9714830000000002e-06
  4    4   -1.2979709999999999e-06
  4    5    1.0833600000000000e-07
  4    6    7.6984910699999997e-04
  4    7    5.3993895599999998e-04
  4    8    2.6367700000000001e-07
  4    9    3.7609374999999998e-05
  4   10    4.0131100000000001e-07
  4   11   -3.7315499999999999e-06
  4   12   -2.7820510199999998e-04
  4   13   -5.0063507399999996e-04
  4   14   -6.7663451000000006e-05
  4   15   -3.1251548999999998e-05
  4   16   -3.4213740000000001e-06
  4   17    1.0666110000000000e-06
  4   18    1.8016821800000000e-04
  4   19    1.6269000000000000e-05
  4   20    1.7304282000000000e-05
  4   21    4.8800379999999996e-06
  4   22    3.3258279999999999e-06
  4   23   -1.4467599999999999e-07
  4   24   -4.6843691000000002e-05
  4   25   -7.2171040000000000e-05
  4   26   -1.3418520000000000e-05
  4   27    4.6631929999999997e-06
  4   28    2.4767209999999999e-06
  4   29    2.0574439999999999e-06
  4   30    9.8524480000000004e-06
  4   31    1.9217908000000000e-05
  4   32    2.4950470000000001e-06
  4   33    1.6885799999999999e-07
  4   34    4.2590200000000002e-07
  4   35   -2.7552000000000002e-07
  4   36   -5.4380920000000003e-06
  4   37    1.0692284000000001e-05
  4   38    2.8599780000000000e-06
  4   39    2.0955359999999998e-06
  4   40    1.7016100000000000e-06
  4   41    4.6250200000000002e-07
  4   42   -8.5490700000000005e-07
  4   43    8.3697100000000004e-07
  4   44    5.1486699999999997e-07
  4   45   -6.2379699999999998e-07
  4   46   -3.9345000000000002e-07
  4   47    2.2254600000000001e-07
  4   48    4.7455300000000000e-07
  4   49   -7.8946799999999999e-07
  4   50    5.9911300000000005e-07
  4   51    2.8339800000000001e-07
  4   52    1.2305999999999999e-07
  4   53   -1.3051600000000000e-07
  4   54    2.3989560799999999e-04
  4   55    1.1330991389999999e-03
  4   56    8.4217476499999998e-04
  4   57    3.4926299999999998e-05
  4   58    2.1823317000000001e-05
  4   59   -3.3771650000000001e-06
  4   60   -1.6488260000000001e-06
  4   61   -2.6799973399999999e-04
  4   62   -2.8701182000000002e-04
  4   63   -2.5728606399999998e-04
  4   64   -6.0983595999999999e-05
  4   65   -2.6951890000000001e-05
  4   66   -4.5487189999999996e-06
  4   67    3.4068800000000001e-07
  4   68    6.6336027999999996e-04
  4   69    1.2880824200000001e-04
  4   70    4.6563432000000003e-05
  4   71    1.8679160999999999e-05
